TenureGroup,用户数,流失人数,流失率,平均订单数,平均返现,平均App使用时长
新用户,508,272,0.5354330708661418,1.889763779527559,142.44257874015747,2.5078740157480315
0-6个月,1642,425,0.25883069427527405,2.6839220462850184,164.87205846528622,3.135809987819732
7-12个月,1584,156,0.09848484848484848,2.7474747474747474,163.3139393939394,2.8775252525252526
13-24个月,1467,95,0.06475800954328562,3.704839809134288,204.91599182004092,2.936605316973415
24个月以上,429,0,0.0,3.5454545454545454,222.3400233100233,2.874125874125874
